,Player,Pos,Age,Tm,G,GS,MP,PTS,TS%,FTM,FTA,FT%,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,OREB,OREB%,DREB,DREB%,TREB,TREB%,AST,AST%,STL,STL%,BLK,BLK%,TOV,TOV%,USG%,OFFWS,DEFWS,WS,WS/48,BPM,VORP,eFG%,PF
667,Nikola Mirotic\mirotni01,PF,26,NOP,30,11,872,439,0.539,47,58,0.81,163,382,0.42700000000000005,66,197,0.335,97,185,0.524,41,5.3,205,24.6,246,15.3,41,6.8,29,1.6,26,2.4,31,7.1,21.8,0.7,1.2,1.9,0.106,-0.2,0.4,0.513,63
668,Donovan Mitchell\mitchdo01,SG,21,UTA,79,71,2638,1616,0.541,239,297,0.805,595,1362,0.43700000000000006,187,550,0.34,408,812,0.502,52,2.3,244,10.4,296,6.4,291,19.4,118,2.2,27,0.9,215,12.6,29.1,1.4,3.8,5.2,0.095,1.1,2.1,0.506,213
669,Naz Mitrou-Long\mitrona01,SG,24,UTA,1,0,1,3,1.5,0,0,,1,1,1.0,1,1,1.0,0,0,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45.0,0.1,0.0,0.1,2.7119999999999997,54.4,0.0,1.5,0
670,Malik Monk\monkma01,SG,19,CHO,63,0,854,421,0.47700000000000004,32,38,0.8420000000000001,153,425,0.36,83,243,0.342,70,182,0.385,8,1.0,58,7.5,66,4.2,91,16.9,20,1.1,9,0.9,49,9.8,24.9,-0.5,0.5,0.0,0.001,-4.4,-0.5,0.45799999999999996,60
671,Greg Monroe\monrogr01,C,27,TOT,51,14,1040,524,0.598,88,119,0.7390000000000001,218,386,0.565,0,0,,218,386,0.565,109,11.4,241,25.2,350,18.3,114,18.7,44,2.1,23,1.8,94,17.7,22.4,1.8,1.6,3.4,0.155,2.4,1.2,0.565,95
672,Greg Monroe\monrogr01,C,27,TOT,51,0,1040,34,0.598,2,4,0.5,16,33,0.485,0,0,,16,33,0.485,6,11.4,19,25.2,25,18.3,5,18.7,0,2.1,0,1.8,6,17.7,22.4,1.8,1.6,3.4,0.155,2.4,1.2,0.485,7
673,Greg Monroe\monrogr01,C,27,TOT,51,14,1040,225,0.598,31,46,0.674,97,155,0.626,0,0,,97,155,0.626,50,11.4,110,25.2,160,18.3,50,18.7,16,2.1,6,1.8,40,17.7,22.4,1.8,1.6,3.4,0.155,2.4,1.2,0.626,40
674,Greg Monroe\monrogr01,C,27,TOT,51,0,1040,265,0.598,55,69,0.797,105,198,0.53,0,0,,105,198,0.53,53,11.4,112,25.2,165,18.3,59,18.7,28,2.1,17,1.8,48,17.7,22.4,1.8,1.6,3.4,0.155,2.4,1.2,0.53,48
675,Greg Monroe\monrogr01,C,27,MIL,5,14,79,524,0.489,88,119,0.7390000000000001,218,386,0.565,0,0,,218,386,0.565,109,8.9,241,28.1,350,18.5,114,10.2,44,0.0,23,0.0,94,14.7,23.3,-0.1,0.0,0.0,-0.013000000000000001,-9.6,-0.2,0.565,95
676,Greg Monroe\monrogr01,C,27,MIL,5,0,79,34,0.489,2,4,0.5,16,33,0.485,0,0,,16,33,0.485,6,8.9,19,28.1,25,18.5,5,10.2,0,0.0,0,0.0,6,14.7,23.3,-0.1,0.0,0.0,-0.013000000000000001,-9.6,-0.2,0.485,7
677,Greg Monroe\monrogr01,C,27,MIL,5,14,79,225,0.489,31,46,0.674,97,155,0.626,0,0,,97,155,0.626,50,8.9,110,28.1,160,18.5,50,10.2,16,0.0,6,0.0,40,14.7,23.3,-0.1,0.0,0.0,-0.013000000000000001,-9.6,-0.2,0.626,40
678,Greg Monroe\monrogr01,C,27,MIL,5,0,79,265,0.489,55,69,0.797,105,198,0.53,0,0,,105,198,0.53,53,8.9,112,28.1,165,18.5,59,10.2,28,0.0,17,0.0,48,14.7,23.3,-0.1,0.0,0.0,-0.013000000000000001,-9.6,-0.2,0.53,48
679,Greg Monroe\monrogr01,C,27,PHO,20,14,465,524,0.642,88,119,0.7390000000000001,218,386,0.565,0,0,,218,386,0.565,109,11.3,241,25.7,350,18.4,114,18.2,44,1.6,23,1.0,94,18.6,19.6,1.0,0.4,1.4,0.142,2.3,0.5,0.565,95
680,Greg Monroe\monrogr01,C,27,PHO,20,0,465,34,0.642,2,4,0.5,16,33,0.485,0,0,,16,33,0.485,6,11.3,19,25.7,25,18.4,5,18.2,0,1.6,0,1.0,6,18.6,19.6,1.0,0.4,1.4,0.142,2.3,0.5,0.485,7
681,Greg Monroe\monrogr01,C,27,PHO,20,14,465,225,0.642,31,46,0.674,97,155,0.626,0,0,,97,155,0.626,50,11.3,110,25.7,160,18.4,50,18.2,16,1.6,6,1.0,40,18.6,19.6,1.0,0.4,1.4,0.142,2.3,0.5,0.626,40
682,Greg Monroe\monrogr01,C,27,PHO,20,0,465,265,0.642,55,69,0.797,105,198,0.53,0,0,,105,198,0.53,53,11.3,112,25.7,165,18.4,59,18.2,28,1.6,17,1.0,48,18.6,19.6,1.0,0.4,1.4,0.142,2.3,0.5,0.53,48
683,Greg Monroe\monrogr01,C,27,BOS,26,14,496,524,0.58,88,119,0.7390000000000001,218,386,0.565,0,0,,218,386,0.565,109,11.9,241,24.4,350,18.2,114,20.5,44,2.8,23,2.9,94,17.4,24.9,0.8,1.1,2.0,0.193,4.5,0.8,0.565,95
684,Greg Monroe\monrogr01,C,27,BOS,26,0,496,34,0.58,2,4,0.5,16,33,0.485,0,0,,16,33,0.485,6,11.9,19,24.4,25,18.2,5,20.5,0,2.8,0,2.9,6,17.4,24.9,0.8,1.1,2.0,0.193,4.5,0.8,0.485,7
685,Greg Monroe\monrogr01,C,27,BOS,26,14,496,225,0.58,31,46,0.674,97,155,0.626,0,0,,97,155,0.626,50,11.9,110,24.4,160,18.2,50,20.5,16,2.8,6,2.9,40,17.4,24.9,0.8,1.1,2.0,0.193,4.5,0.8,0.626,40
686,Greg Monroe\monrogr01,C,27,BOS,26,0,496,265,0.58,55,69,0.797,105,198,0.53,0,0,,105,198,0.53,53,11.9,112,24.4,165,18.2,59,20.5,28,2.8,17,2.9,48,17.4,24.9,0.8,1.1,2.0,0.193,4.5,0.8,0.53,48
687,Luis Montero\montelu01,SG,24,DET,2,0,8,0,0.0,0,0,,0,1,0.0,0,0,,0,1,0.0,0,0.0,2,28.2,2,13.8,0,0.0,0,0.0,0,0.0,2,66.7,16.6,-0.1,0.0,-0.1,-0.445,-25.9,0.0,0.0,0
688,Ben Moore\moorebe01,PF,22,IND,2,0,9,0,,0,0,,0,0,,0,0,,0,0,,0,0.0,1,12.5,1,6.3,1,13.1,0,0.0,0,0.0,0,,0.0,0.0,0.0,0.0,0.07200000000000001,-5.0,0.0,,4
689,E'Twaun Moore\mooreet01,SG,28,NOP,82,80,2586,1022,0.593,48,68,0.706,423,832,0.508,128,301,0.425,295,531,0.556,57,2.5,181,7.3,238,5.0,187,10.1,79,1.5,12,0.4,102,10.6,16.1,2.8,1.6,4.4,0.081,-0.2,1.2,0.585,182
690,Eric Moreland\moreler01,PF,26,DET,67,3,805,143,0.531,11,29,0.379,66,122,0.541,0,0,,66,122,0.541,81,10.9,197,27.6,278,19.1,78,13.3,31,1.9,51,5.6,42,23.8,9.7,0.7,1.6,2.3,0.135,2.6,0.9,0.541,116
691,Jaylen Morris\morrija01,SG,22,ATL,6,0,98,28,0.43799999999999994,0,0,,13,32,0.406,2,10,0.2,11,22,0.5,2,2.3,14,15.9,16,9.1,7,10.8,2,1.0,1,0.9,6,15.8,16.9,-0.2,0.1,-0.1,-0.053,-7.1,-0.1,0.43799999999999994,2
692,Marcus Morris\morrima03,PF,28,BOS,54,21,1447,734,0.541,124,154,0.805,262,611,0.429,86,234,0.368,176,377,0.467,43,3.3,246,18.4,289,10.9,72,8.1,35,1.2,12,0.7,65,8.7,23.0,1.1,2.2,3.2,0.10800000000000001,-1.7,0.1,0.499,100
693,Markieff Morris\morrima02,PF,28,WAS,73,73,1968,841,0.5660000000000001,105,128,0.82,330,687,0.48,76,207,0.36700000000000005,254,480,0.529,75,4.3,334,19.2,409,11.8,142,11.0,56,1.4,38,1.7,127,14.6,19.5,1.2,2.1,3.3,0.08,-0.5,0.7,0.536,216
